# vbc3 100210 I added beta-1 and gamma-1 columns in order to allow rotation of those angles in the RNA rotator tool,,,,,,,,,,,,,,,,,,,,,,,
#bin,name,chi i-1,beta i-1,gamma i-1, delta i-1, epsilon,  zeta,  alpha,  beta,  gamma,  delta,  chi,chi-1,beta i-1,gamma i-1,del-1,epsil,zeta,alpha,beta,gam,delta, chi
33p,1a,195,,,81.495,212.25,288.831,294.967,173.99,53.55,81.035,199,12,,,3.5,9.6,7.3,7.5,8.4,5.6,3.3,9
33p,1m,207,,,83.513,218.12,291.593,292.247,222.3,58.067,86.093,236,26,,,4.5,16.2,14.7,16.4,12.1,9.9,6.8,36
33p,1L,201,,,85.664,245.014,268.257,303.879,138.164,61.95,79.457,208,15,,,3.5,6.1,12.6,7.8,3.8,9.7,4.7,18
33p,&a,199,,,82.112,190.682,264.945,295.967,181.839,51.455,81.512,201,11,,,5,7.1,6.1,9.5,9.5,7.3,4.5,15
33p,7a,205,,,83.414,217.4,222.006,302.856,160.719,49.097,82.444,201,9,,,3.5,23,14.4,8.9,15,5.9,2.6,16
33p,3a,196,,,85.072,216.324,173.276,289.32,164.132,45.876,84.956,202,55,,,4.3,24.4,14.1,12.2,15.9,7,5.7,23
33p,9a,200,,,83.179,210.347,121.474,288.568,157.268,49.347,81.047,199,33,,,2.3,14.6,13.2,11.5,22.6,5.6,3.4,26
33p,1g,206,,,80.888,218.636,290.735,167.447,159.565,51.326,85.213,199,12,,,3.4,7.7,9,8.2,15.5,4.5,3,13
33p,7d,207,,,83.856,238.75,256.875,69.562,170.2,52.8,85.287,193,40,,,4.1,15.5,11.9,9.8,23.2,5.9,2.8,14
33p,3d,210,,,85.295,244.085,203.815,65.88,181.13,54.68,86.035,198,43,,,4.1,15.3,14.7,18.9,22.5,5.7,4,25
33p,5d,197,,,79.671,202.471,63.064,68.164,143.45,49.664,82.757,192,7,,,4.4,7.4,13.6,11.6,30.5,7.1,2.1,14
33t,1e,204,,,80.514,200.545,280.51,249.314,82.662,167.89,85.507,182,9,,,2.5,7.9,6.4,9,10.5,5.7,3.7,9
33t,1c,203,,,80.223,196.591,291.299,153.06,194.379,179.061,83.648,184,7,,,3.3,9.1,9.5,11.6,12.2,10.2,3.4,17
33t,1f,216,,,81.395,203.03,294.445,172.195,138.54,175.565,84.47,203,14,,,2.3,14,10.5,10.6,13,9.5,3.4,18
33t,5j,201,,,87.417,223.558,80.175,66.667,109.15,176.475,83.833,187,21,,,7,23.4,15.4,9.1,10.3,6,3.6,8
32p,1b,201,,,84.215,215.014,288.672,300.42,177.476,58.307,144.841,230,15,,,3.9,10.3,9.8,8.7,12.3,7.3,7.3,52
32p,1[,204,,,82.731,220.463,288.665,296.983,221.654,54.213,143.771,268,15,,,3.7,10.1,9.6,8.3,8.7,6.9,7.6,28
32p,3b,208,,,84.7,226.4,168.336,292.771,177.629,48.629,147.95,245,19,,,3.1,18.1,17.4,15.4,22.4,5.3,2.6,22
32p,1z,205,,,83.358,206.042,277.567,195.7,161.6,50.75,145.258,243,7,,,2.6,17.5,19.4,14.1,25.4,4.9,4.8,21
32p,5z,208,,,82.614,206.44,52.524,163.669,148.421,50.176,147.59,225,6,,,2.6,4.8,7.1,5.2,9.7,4.9,3.5,7
32p,7p,222,,,84.285,236.6,220.4,68.3,200.122,53.693,145.73,233,23,,,2.8,23.8,14.9,11.9,29.7,7,5.6,35
32t,1t,208,,,81.2,199.243,288.986,180.286,194.743,178.2,147.386,224,12,,,3.4,20.1,7.8,16.9,13.5,8.6,5.2,27
32t,5q,139,,,82.133,204.933,69.483,63.417,115.233,176.283,145.733,196,82,,,8.1,6,14.3,9.2,16.8,5.5,3.6,115
